"id","project_code","year_of_subsidy_sanct","state_name","state_code","district_name","district_code","agency","supported_by","beneficiary_name","project_address","current_status","project_cost","amount_sanct"
0,"2010-AP-28-42","2010-11","Andhra Pradesh","28","Krishna","510","APEDA","nan","AP State Agro Inds.","nan","Completed",0.0,990.0
1,"2006-AP-28-43","2010-11","Andhra Pradesh","28","Chittoor","503","APEDA","nan","AP State Agro Inds. Dev. Corpn","nan","Completed",0.0,990.0
2,"2010-AP-28-38","2010-11","Andhra Pradesh","28","Visakhapatanam","520","APEDA","nan","Deptt. Of Horticulture","nan","Completed",0.0,25.0
3,"2007-AS-18-02","2007-08","Assam","18","Kamrup Metro","618","APEDA","nan","AIDC","nan","Completed",0.0,594.0
4,"2013-AS-18-01","2013-14","Assam","18","Karimganj","293","APEDA","nan","ASAMB","Assam State Agricultural Marketing BoardRam Krishna Mission Road,Ulubari,Guwahati â€“ 781 007","Under Implementation",917.69,800.0
5,"2007-GJ-24-07","2007-08","Gujarat","24","Bharuch","442","APEDA","nan","GAIC","nan","Completed",0.0,550.0
6,"2009-GJ-24-05","2009-10","Gujarat","24","Bhavnagar","443","APEDA","nan","GAIC","Gujarat Agro Industries Corp. Gujarat Civil Supplies Buidling,2nd Floor, B-Wing, Ch-Road, Sector -10-A,Gandhinagar â€“ 382 010,Gujarat","Completed",0.0,623.9
7,"2009-GJ-24-06","2009-10","Gujarat","24","Kachchh","449","APEDA","nan","GAIC","nan","Completed",0.0,7.05
8,"2011-GJ-19","2011-12","Gujarat","24","Vadodara","461","APEDA","nan","GSAMB","nan","Completed",0.0,643.0
9,"2011-GJ-20","2011-12","Gujarat","24","Narmada","452","APEDA","nan","GSAMB","Gujarat State Agricultural Marketing ","Completed",0.0,829.0
10,"2011-GJ-22","2011-12","Gujarat","24","Surat","459","APEDA","nan","GSAMB","nan","Completed",0.0,625.0
11,"2012-GJ-18","2012-13","Gujarat","24","Dohad","445","APEDA","nan","GSAMB","nan","Completed",0.0,645.97
12,"2015-GJ-6","2015-16","Gujarat","24","Gandhinagar","446","APEDA","nan","GSAMB","Gujarat State Agricultural Marketing ","Under Implementation",0.0,539.19
13,"2015-GJ-24-64","2015-16","Gujarat","24","Surat","459","APEDA","nan","Gujarat Stat eAGricultural Mrketing Board","Jivraj Mehta Bhawan, Gandhi Nagar, Gujarat","Under Implementation",1744.0,1000.0
14,"2015-GJ-24-61","2015-16","Gujarat","24","Surat","459","APEDA","nan","Gujarat State Agricultural Marketing Board","Dr Jivraj Mehta Bhawan, Gandhinagar ","Under Implementation",1744.0,1000.0
15,"2009-HP-02-23","2009-10","Himachal Pradesh","2","Hamirpur","17","APEDA","nan","HPMC","Horticultural Produce Marketing &Processing Corporation Ltd. Nigam ViharShimla â€“ 171 002Himachal Pradesh","Completed",0.0,353.42
16,"2009-HP-02-26","2009-10","Himachal Pradesh","2","Kinnaur","19","APEDA","nan","HPMC","nan","Under Implementation",0.0,129.7
17,"2009-HP-02-30","2009-10","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,247.27
18,"2009-HP-02-31","2009-10","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,163.12
19,"2009-HP-02-32","2009-10","Himachal Pradesh","2","Kullu","20","APEDA","nan","HPMC","nan","Completed",0.0,431.55
20,"2011-HP-02-24","2011-12","Himachal Pradesh","2","Bilaspur","15","APEDA","nan","HPMC","nan","Under Implementation",0.0,435.08
21,"2011-HP-02-25","2011-12","Himachal Pradesh","2","Kullu","20","APEDA","nan","HPMC","nan","Under Implementation",0.0,165.02
22,"2011-HP-02-27","2011-12","Himachal Pradesh","2","Mandi","22","APEDA","nan","HPMC","nan","Completed",0.0,163.12
23,"2011-HP-02-28","2011-12","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,174.44
24,"2011-HP-02-29","2011-12","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","nan","Completed",0.0,0.0
25,"2012-HP-02-5","2012-13","Himachal Pradesh","2","Mandi","22","APEDA","nan","HPMC","Nigam Vihar, Shima","Completed",0.0,506.89
26,"2012-HP-021-5","2012-13","Himachal Pradesh","2","Mandi","22","APEDA","nan","HPMC","Nigam Vihar, Shima","Completed",0.0,503.8
27,"2016-HP-02-1","2015-16","Himachal Pradesh","2","Chamba","16","APEDA","nan","HPMC","Nigam Vihar, Shima","Under Implementation",466.16,394.13
28,"2016-HP-02-4","2015-16","Himachal Pradesh","2","Kullu","20","APEDA","nan","HPMC","Nigam Vihar, Shima","Under Implementation",598.58,487.02
29,"2017-HP-02-11","2015-16","Himachal Pradesh","2","Shimla","23","APEDA","nan","HPMC","Nigam Vihar, Shima","Under Implementation",974.05,800.0
30,"2007-KA-29-34","2007-08","Karnataka","29","Koppal","543","APEDA","nan","KAPPEC","nan","Completed",0.0,536.5
31,"2011-KA-","2011-12","Karnataka","29","Bidar","529","APEDA","nan","KAPPEC","Karnataka State Agricultural Produce","Under Implementation",0.0,653.0
32,"2011-KA-29-33","2011-12","Karnataka","29","Belagavi","527","APEDA","nan","KAPPEC","Karnataka State Agricultural ProduceProcessing & Export Corporation Ltd.#17, General K.S. Thimayya Road,(Richmond Road),Bangalore â€“ 560025","Under Implementation",0.0,550.0
33,"2012-KA-11","2012-13","Karnataka","29","Haveri","540","APEDA","nan","Dept of Horticulture","nan","Under Implementation",0.0,183.55
34,"2012-KA-19","2012-13","Karnataka","29","Kolar","542","APEDA","nan","Dept of Horticulture","Department of Horticulture","Under Implementation",0.0,212.75
35,"2012-KA-29","2012-13","Karnataka","29","Mysuru","545","APEDA","nan","Dept of Horticulture","Mysore","Under Implementation",0.0,198.75
36,"2012-KA-1","2012-13","Karnataka","29","Belagavi","527","APEDA","nan","KAPPEC","Karnataka State Agricultural Produce","Under Implementation",0.0,744.0
37,"2014-KE-32-36","2014-15","Kerala","32","Ernakulam","555","APEDA","nan","CFRD","nan","Under Implementation",0.0,735.0
38,"2014-KE-32-35","2014-15","Kerala","32","Thiruvananthapuram","565","APEDA","nan","VFPCK","nan","Under Implementation",0.0,430.92
39,"2014-KE-32-37","2014-15","Kerala","32","Wayanad","567","APEDA","nan","VFPCK","nan","Under Implementation",0.0,430.92
40,"2010-MP-23-21","2011-12","Madhya Pradesh","23","Burhanpur","397","APEDA","nan","MPSAMB","nan","Completed",0.0,550.0
41,"2010-MP-23-22","2011-12","Madhya Pradesh","23","Barwani","393","APEDA","nan","MPSAMB","nan","Completed",0.0,550.0
42,"2005-MH-27-15","2005-06","Maharashtra","27","Wardha","498","APEDA","nan","nan","nan","Completed",0.0,18.75
43,"2005-MH-27-17","2005-06","Maharashtra","27","Raigarh","386","APEDA","nan","MAIDC","nan","Under Implementation",0.0,500.0
44,"2006-MH-27-14","2006-07","Maharashtra","27","Nashik","487","APEDA","nan","CONCOR","nan","Completed",0.0,448.41
45,"2007-MH-27-18","2007-08","Maharashtra","27","Hingoli","477","APEDA","nan","MSAMB","nan","Completed",0.0,279.89
46,"2007-MH-27-19","2007-08","Maharashtra","27","Jalgaon","478","APEDA","nan","MSAMB","nan","Completed",0.0,279.89
47,"2007-MH-27-20","2007-08","Maharashtra","27","Latur","481","APEDA","nan","MSAMB","nan","Completed",0.0,223.5
48,"2011-MH-27-08","2011-12","Maharashtra","27","Satara","494","APEDA","nan","MSAMB","Maharashtra State AgricultureMarketing Board,Plot No. R-7, GultekdiChhatrapati Shivaji Market Yard,Pune â€“ 411037","Under Implementation",0.0,702.5
49,"2011-MH-27-10","2011-12","Maharashtra","27","Pune","490","APEDA","nan","MSAMB","nan","Under Implementation",0.0,537.0
50,"2011-MH-27-11","2011-12","Maharashtra","27","Nashik","487","APEDA","nan","MSAMB","nan","Under Implementation",0.0,547.76
51,"2011-MH-27-09","2011-12","Maharashtra","27","Raigarh","386","APEDA","nan","MSWC","Maharashtra State Warehousing Corporation583/B, Market Yard, Gultekdi,Pune - 411037","Under Implementation",0.0,800.0
52,"2013-MH-27-13","2013-14","Maharashtra","27","Raigarh","386","APEDA","nan","MSAMB","nan","Under Implementation",0.0,286.87
53,"2013-MH-27-16","2013-14","Maharashtra","27","Mumbai","482","APEDA","nan","MSAMB","nan","Completed",0.0,322.8
54,"2013-MH-27-12","2013-14","Maharashtra","27","Pune","490","APEDA","nan","MSWC","nan","Under Implementation",0.0,800.0
55,"2014-MH-21","2014-15","Maharashtra","27","Thane","497","APEDA","nan","APMC","nan","Under Implementation",0.0,800.0
56,"2014-MH-17","2014-15","Maharashtra","27","Parbhani","489","APEDA","nan","MSWC","Maharashtra State Warehousing ","Completed",0.0,800.0
57,"2015-MZ-15-04","2015-16","Mizoram","15","Aizawl","261","APEDA","nan","NIB","nan","Under Implementation",0.0,800.0
58,"2015-MZ-15-62","2015-16","Mizoram","15","Aizawl","261","APEDA","nan","NIB","Aizwal Mizoram","Under Implementation",944.69,800.0
59,"2015-MZ-15-65","2015-16","Mizoram","15","Aizawl","261","APEDA","nan","NIB","Aizwal Mizoram","Under Implementation",944.69,800.0
60,"2010-OR-21-45","2010-11","Odisha","21","Balangir","345","APEDA","nan","APICOL","The Agricultural Promotion and Investment Corporation of Odisha Limited (APICOL)Baramunda,BhubaneshwarOdisha â€“ 751 003","Under Implementation",0.0,528.35
61,"2005-PB-03-60","2005-06","Punjab","3","Ludhiana","36","APEDA","nan","MARKFED","nan","Completed",0.0,282.0
62,"2010-PB-03-56","2010-11","Punjab","3","Gurdaspur","32","APEDA","nan","PAGREXCO","nan","Completed",0.0,535.0
63,"2006-RJ-08-50","2006-07","Rajasthan","8","Jaipur","102","APEDA","nan","RSAMB","nan","Completed",0.0,390.0
64,"2006-RJ-08-51","2006-07","Rajasthan","8","Jaipur","102","APEDA","nan","RSAMB","nan","Completed",0.0,315.75
65,"2006-RJ-08-52","2006-07","Rajasthan","8","Tonk","116","APEDA","nan","RSAMB","nan","Completed",0.0,323.66
66,"2006-RJ-08-53","2006-07","Rajasthan","8","Jaipur","102","APEDA","nan","RSAMB","nan","Completed",0.0,274.0
67,"2006-SK-11-03","2006-07","Sikkim","11","Gangtok","225","APEDA","nan","Horticulture & Cash Crop Dev Department","nan","Completed",0.0,299.0
68,"2015-SK-11-63","2015-16","Sikkim","11","Gangtok","225","APEDA","nan","Bhumi Sikkim State Rural Livelihood Mission Govt of Sikkim","Gram Vikas Bhawan (Tashling Annexe-II) Government of Sikkim, Gangtok","Under Implementation",32.19,28.97
69,"2011-TN-7","2010-11","Tamil Nadu","33","Villupuram","596","APEDA","nan","Agricultural Mktg","nan","Completed",0.0,20.3
70,"2011-TN-12","2011-12","Tamil Nadu","33","Coimbatore","569","APEDA","nan","Agricultural Mktg","nan","Completed",0.0,20.3
71,"2011-TN-13","2011-12","Tamil Nadu","33","Dindigul","572","APEDA","nan","Agricultural Mktg","nan","Completed",0.0,59.5
72,"2014-TN-31","2014-15","Tamil Nadu","33","Krishnagiri","577","APEDA","nan","TANHODA","nan","Under Implementation",0.0,742.0
73,"2010-TG-37-39","2010-11","Telangana","36","Medak","513","APEDA","nan","Deptt. Of Horticulture","nan","Completed",0.0,25.0
74,"2010-TG-37-40","2010-11","Telangana","36","Ranga Reddy","518","APEDA","nan","Deptt. Of Horticulture","nan","Completed",0.0,25.0
75,"2010-TG-37-41","2010-11","Telangana","36","Nizamabad","516","APEDA","nan","Deptt. Of Horticulture","nan","Completed",0.0,25.0
76,"2010-TG-37-44","2010-11","Telangana","36","Khammam","509","APEDA","nan","ITDA","nan","Completed",0.0,0.0
77,"2006-UP-09-54","2006-07","Uttar Pradesh","9","Lucknow","162","APEDA","nan","UP Mandi Parishad","nan","Completed",0.0,146.0
78,"2006-UP-09-55","2006-07","Uttar Pradesh","9","Lucknow","162","APEDA","nan","UP Mandi Parishad","nan","Completed",0.0,917.0
79,"2005-WB-19-46","2005-06","West Bengal","19","Maldah","316","APEDA","nan","W B State Food Processing & Hort. Dev corp Ltd.","nan","Completed",0.0,127.0
80,"2005-WB-19-47","2005-06","West Bengal","19","Kolkata","315","APEDA","nan","W B State Food Processing & Hort. Dev corp Ltd.","nan","Completed",0.0,146.0
81,"CC/2017-18/162","2017-18","Andaman And Nicobar Islands","35","Nicobars","603","MOFPI","nan","Andaman Cold Chain","Port Blair, Andaman & Nicobars Islands","Under Implementation",500.0,245.0
82,"CCH12125","2013-14","Telangana","36","Ranga Reddy","518","MOFPI","nan","Dodla Dairy","Location : Chowderpally, R.R. District, Andhra Pradesh. Contact Details : # 6-3-661/8, Sangeeth Nagar, Somajiguda, Hyderabad- 500082. Contact Person:Mr.AMS Reddy: Ph:+91-9849982484; Email: amsreddy@gmail.com","Under Implementation",3200.0,150.0
83,"CCH12194","2013-14","Andhra Pradesh","28","Visakhapatanam","520","MOFPI","nan","Nekkanti Sea Foods Limited","Ground Floor, Jayaprada Apartments, Maharanipet, Visakapatnam-530002","Under Implementation",3690.0,0.0
84,"CCH11076","2013-14","Andhra Pradesh","28","Prakasam","517","MOFPI","nan","Synthite Industries Ltd","Location :Tammavaram Road, Medarametla, Korisapadu Mandal, Prakasam, Dist- Ongole. Contact Address, Synthite Valley, Kadayirippu, Kolencherry, Cochi","Completed",2943.1,582.16
85,"CC/2017-18/122","2017-18","Andhra Pradesh","28","East Godavari","505","MOFPI","nan","Devi Aquatech Pvt. Ltd.","East Godavari District, Andhra Pradesh ","Completed",6370.0,1000.0
86,"CC/2017-18/148","2017-18","Andhra Pradesh","28","Chittoor","503","MOFPI","nan","Farm Gate Agro Milch Ltd.","Chitoor, Andhrapradesh ","Under Implementation",4425.0,1000.0
87,"CC/2017-18/143","2017-18","Andhra Pradesh","28","West Godavari","523","MOFPI","nan","Sandhya Marines Ltd.","West Godavari","Completed",1402.0,431.0
88,"CC/2017-18/156","2017-18","Andhra Pradesh","28","Spsr Nellore","515","MOFPI","nan","Tirumala Milk Products Pvt. Ltd.","Nellore, Andhra Pradesh ","Under Implementation",3187.0,1000.0
89,"CC/2018-19/608","2018-19","Andhra Pradesh","28","East Godavari","505","MOFPI","nan","Apex Frozen Foods Ltd.","East Godavari District, Andhra Pradesh ","Under Implementation",4873.0,1000.0
90,"CC/2018-19/509","2018-19","Andhra Pradesh","28","West Godavari","523","MOFPI","nan","Asvini Fisheries Pvt. Ltd.","West Godavari, Andhra Pradesh","Under Implementation",5804.0,1000.0
91,"CC/2018-19/265","2018-19","Andhra Pradesh","28","Visakhapatanam","520","MOFPI","nan","Coastal Corporation Limited","Visakhapatnam, Andhra Pradesh ","Under Implementation",2891.0,792.0
92,"CC/2018-19/198","2017-18","Arunachal Pradesh","12","Tawang","238","MOFPI","nan","Gangri Food Products","Tawang, Arunachal Pradesh","Under Implementation",1532.0,811.0
93,"CCH12103","2013-14","Assam","18","Kamrup","291","MOFPI","nan","E-appliances","Location : Dag No. 955, Patta No. 207, Changsarai, Kamrup, Guwahati, Assam. Location 2 : A 4 , Industrial Area Selaqui, Dehradun, Uttarakhand. Contact Address :A-4, Industrial Area, Selakui, Dehradun - 248197, Uttarakhand.","Under Implementation",1399.51,21.56
94,"CCH12016","2013-14","Assam","18","Kamrup","291","MOFPI","nan","Global Entrade","Location : Village: Tetelia, Sonapur, Dist.- Kamrup, Assam. Contact Address : Gaurav Bhawan, 2nd Floor, Ananda Nagar, D, Neog Path, G.S. Road, Guwahati","Under Implementation",1595.9,702.71
95,"CCH11093","2013-14","Bihar","10","Begusarai","191","MOFPI","nan","Ganga Dairy","Location : Ganga Dairy Ltd. , Sri Krishna Nagar, Begusarai, Bihar.","Under Implementation",2260.0,935.19
96,"CCH12171","2013-14","Bihar","10","Vaishali","224","MOFPI","nan","Mahua Cooperative Cold Storage","Post: Mahua, Vaishali District, Bihar pin: 844139","Under Implementation",2116.0,0.0
97,"CC/2017-18/166","2017-18","Bihar","10","Muzaffarpur","208","MOFPI","nan","R K Agribiz LLP","Muzaffarpur, Bihar","Under Implementation",1964.0,758.0
98,"CCH12017","2013-14","Chhattisgarh","22","Raipur","387","MOFPI","nan","L.L. Logistics Pvt. Ltd.","Location : Village: Girrod, Tehsil and District Raipur Contact Address :504, Gandhi Complex, Bal Ashram Compound, Kutchery Chowk, Raipur (C.G.)","Under Implementation",1868.33,550.45
99,"CCH12095","2013-14","Chhattisgarh","22","Raipur","387","MOFPI","nan","Utsav Organic & Cold Chain","Location : Khasra No: 160,161/1, chotte Urla, Abhanpur, Raipur, Contact Address :Mr.Kabir Sibbal, Sandesh Bandhur Building, G.E. Road Teh- Bandha","Under Implementation",2065.0,455.48
100,"CCH12185","2013-14","Gujarat","24","Mahesana","451","MOFPI","nan","Apollo Agro Limited","Unjha - Siddhpur State Highway, At- Brahmanvada, Ta - UnjhaDist - Mehsana - 384215","Under Implementation",2238.0,0.0
101,"CCH12025","2013-14","Gujarat","24","Mahesana","451","MOFPI","nan","Asandas and Sons","Location : S.No. 189, Village Ganeshpua, Mehsana - Ahmedabad Highway, Mehsana, Gujarat. Contact Address :10/11/12, Vegetable Market Yard, Mehsana. Contact Details: Mr. Jayraj Asandas,Ph:+91-9824044779 Email: haresh.karamchandani@rediffmail.com","Under Implementation",2549.32,193.75
102,"CCH12010","2013-14","Gujarat","24","Ahmadabad","438","MOFPI","nan","Gayatri Dairy Products Pvt. Ltd.","Location; Contact Address : Block No. 795, Opp.- Torrent Pharmaceuticals, Ahmadabad, Mehsana Highway Village, Moje Indrad, Ta.- Kadi, Dist.- Mahsana , Gujarat - 383341. Contact Details: Mr.Kanhaiyalal R Patel: 9427044645, +91-9443358548, Email:gayatridairy2005@yahoo.co.in","Completed",1515.16,450.17
103,"CCH11006","2013-14","Gujarat","24","Surat","459","MOFPI","nan","Hi-Tech Frozen Facilities Pvt Ltd.","Location : 276 Block, P.O. Baleshwar, NH no. 08, Palsana -394317, Surat. Contact Address : Mr.Vijay S.Shah, Director,229, 230 Turning Point, Ghod Dod Road, Surat, Gujarat,","Completed",1683.0,719.81
104,"CCH12067","2013-14","Gujarat","24","Mahesana","451","MOFPI","nan","Himalaya International Ltd.","Location : Survey No 215/A/1, Vadnagar, Dist : Mehsana, Gujarat. Contact Address : E- 555, 1st & 2nd Floor, Palam Extension, Sector - 7, Dwaraka, New Delhi - 110077. Contact Details: ""Mr. Rajesh Chhabra 9582922290, Email id: msd@himalayainternational.com, raj@himalayainternational.com""","Under Implementation",13000.0,750.0
105,"CCH12039","2013-14","Gujarat","24","Vadodara","461","MOFPI","nan","Innovative Cuisine Pvt. Ltd.","Location : Survey No.504/512, Karjan, Vermardi Road, Opp. Cosmo Film, Village Kandari, Tal. Karjan. Contact Address : Block No.504/512, Karjan, Vermardi Road, Opp. Cosmo Film, Village Kandari, Tal. Karjan Contact Details: Mr. Deepak R. Dalal 9574007917, 9904401030, dalaldipak@yahoo.com""","Completed",2072.46,746.11
106,"CCH11085","2013-14","Gujarat","24","Bhavnagar","443","MOFPI","nan","Natural Frozen & Dehydrated Foods","Location: Village Nana Jadra, Taluka Mahuva, Bhavnagar. Contact Details :Mr. R. G. Meghani:+91-9825206159; Email:nfdf14@gmail.com, 160/10, Nana Jadra, Suvarkundla Road, Mahuva, Dist. Bhavnagar","Completed",1250.0,289.69
107,"CCH12072","2013-14","Gujarat","24","Panch Mahals","454","MOFPI","nan","Panchmahal Dist Co-operative Milk Producers Union Ltd","Location/MPC: Village-Dhanol, Talkuka, Godhra, Panchmahal. Contact Details : The Panchmahal District Co-operative Milk Producer 39 Union Ltd. , Lunawada Road, P.B.No 37. Godhra - 389001., Gujarat; Contact Person: Dr. Prakash Patel, Manager (P&I), Ph:+91-9979857162,Email:pnp@panchmahalunion.coop","Under Implementation",2880.01,250.0
108,"CCH11086","2013-14","Gujarat","24","Sabar Kantha","458","MOFPI","nan","Sabarkanta District Cooperative Milk Producers Union Ltd.","Location: Sabarkantha District Co-operative Milk Producers Union Ltd, PO Boria, Himatnagar-383006. {Applicant Details: Mr.L. M. Jagetia: +91-9925244471,Email:lmj@sabardairy.coop}","Completed",2380.0,571.55
109,"CCH12192","2013-14","Gujarat","24","Ahmadabad","438","MOFPI","nan","Vimal Dairy","4th Floor, Heritage, Nr. The Grand Bhagwati Hotel, S.G. Highway, Ahmedabad-380054","Under Implementation",2886.0,0.0
110,"CC/2017-18/149","2017-18","Gujarat","24","Ahmadabad","438","MOFPI","nan","Ahmedabad District Cooperative Milk Producers Union Ltd.","Ahmedabad, Gujarat","Under Implementation",17664.0,1000.0
111,"CC/2017-18/191","2017-18","Gujarat","24","Banas Kantha","441","MOFPI","nan","Banaskantha District Cooperative Milk Producers Union Ltd.","Banaskantha","Under Implementation",5846.0,1000.0
112,"CC/2018-19/203","2017-18","Gujarat","24","Mahesana","451","MOFPI","nan","Instafarm Products Pvt. Ltd.","Mehsana, Gujarat","Under Implementation",3351.0,843.0
113,"CC/2017-18/115","2017-18","Gujarat","24","Ahmadabad","438","MOFPI","nan","Kitchen Express Overseas Ltd.","Ahmedabad, Gujarat","Under Implementation",2518.0,871.0
114,"CC/2017-18/181","2017-18","Gujarat","24","Mahesana","451","MOFPI","nan","Mehsana Dairy & Food Products Ltd.","Mehsana, Gujarat","Completed",2946.0,1000.0
115,"CC/2017-18/142","2017-18","Gujarat","24","Sabar Kantha","458","MOFPI","nan","Sabarkantha District Cooperative Milk Producers Union Ltd.","Sabarkantha, Gujarat","Under Implementation",4183.0,1000.0
116,"CC/2017-18/125","2017-18","Gujarat","24","Vadodara","461","MOFPI","nan","Saraf Foods Limited","Vadodara, Gujarat","Under Implementation",3500.0,1000.0
117,"CC/2017-18/136","2017-18","Gujarat","24","Banas Kantha","441","MOFPI","nan","Teknofine Foods Pvt. Ltd.","Banakantha, Gujarat","Under Implementation",4600.0,1000.0
118,"CC/2017-18/112","2017-18","Gujarat","24","Kheda","450","MOFPI","nan","Wholesome Foods","Kheda, Gujarat","Under Implementation",3285.0,1000.0
119,"CC/2018-19/495","2018-19","Gujarat","24","Mahesana","451","MOFPI","nan","Asandas and Sons","Mehsana, Gujarat","Under Implementation",9301.0,1000.0
120,"CCH12089","2013-14","Haryana","6","Rewari","72","MOFPI","nan","Aligned Industries","Location :Plot No. 51-54, HUDA Industrial Land, Dharuhera, Rewari, Haryana.","Under Implementation",2202.18,547.71
121,"CCH12196","2013-14","Haryana","6","Sonipat","75","MOFPI","nan","Boxco Logistics","Sonepat, Haryana","Under Implementation",3306.0,0.0
122,"CCH12120","2013-14","Haryana","6","Hisar","63","MOFPI","nan","Fresh Food Processing","Location: Plot No 189, Sector 27 &; 28, Industrial Area, Hissar, Haryana. contact Address :No. 1173, Sector 11, Panchkula, Haryana; Contact Details: Mr. Vijender Singh;Email:+91-9216142599; Email: subhashsindhu567@gmail.com","Under Implementation",1591.91,171.96
123,"CCH12199","2013-14","Haryana","6","Palwal","619","MOFPI","nan","Hind Terminals","Palwal, Haryana","Under Implementation",3854.0,0.0
124,"CCH12189","2013-14","Haryana","6","Palwal","619","MOFPI","nan","Industrial Progressive","Industial Progressive India Ltd., Village, Agwanpur, Dist-Palwal, Haryana","Under Implementation",2966.0,0.0
125,"CCH12018","2013-14","Haryana","6","Faridabad","60","MOFPI","nan","M.J. Logistic Services Ltd.","Location : Village. Aurangabad, Tehsil Hodal, District Palwal, Faridabad, Haryana. Contact Address :A-227, Okhla Industrial Area, Phase-I, New Delhi; Contact Person: Name: Mr.Amit Kumar, CEO, Ph: +91-9717292510, Email: asarin@mjlsl.com","Under Implementation",2138.07,572.82
126,"CCH11007","2013-14","Haryana","6","Sonipat","75","MOFPI","nan","Suri Agro Fresh Pvt. Ltd.","Location : Plot No. 576, Rai Food Park, Sonepat- 131001, Haryana. Contact Details :C-129, New Subzi Mandi,Azadpur, Delhi- 110033. Tele No.2 / 63,Fax No.272","Completed",2352.0,984.75
127,"CCH12191","2013-14","Haryana","6","Gurugram","62","MOFPI","nan","Transport Corporation of India","TCI House, Plot No. 69, Institutional Area, Sector-32, Gurgaon, Haryana","Under Implementation",3699.0,0.0
128,"CC/2018-19/197","2017-18","Haryana","6","Sonipat","75","MOFPI","nan","Shell Mount Fresh","Sonepat, Haryana","Under Implementation",2319.0,900.0
129,"CC/2017-18/139","2017-18","Haryana","6","Sonipat","75","MOFPI","nan","Skylark Foods Pvt. Ltd.","Sonepat, Haryana","Under Implementation",1931.0,400.0
130,"CC/2017-18/126","2017-18","Haryana","6","Sonipat","75","MOFPI","nan","Sterling Agro Industries Ltd.","Sonepat, Haryana","Under Implementation",2611.0,920.0
131,"CC/2017-18/137","2017-18","Haryana","6","Nuh","604","MOFPI","nan","VSM Food Cold Chain & Processors LLP","Mewat, Haryana","Under Implementation",3638.0,837.0
132,"CCH12066","2013-14","Himachal Pradesh","2","Shimla","23","MOFPI","nan","Adani Agri Fresh Ltd.","Location : Mehndli, Rohru, Distt - Shimla, Himachal Pradesh . Contact Address : Adani House, Plot No 83, Institutional Area, Sector 32, Gurgaon - 122001; Contact Person(s): Mr.Ramanujam-+91-9727833111; Mr.Basant Nayak: +91-9999-310-892; Email: basant.nayak@adani.com","Under Implementation",2630.9,592.82
133,"CCH11054","2013-14","Himachal Pradesh","2","Kullu","20","MOFPI","nan","Aromatrix Flora Pvt Ltd","Location : V.P.O Patlikuhl, Tehsil Manali, Dist. Kullu, Himachal Pradesh. Contact Address :4237, B-5/6, Vasant Kunj, New Delhi","Completed",2000.0,975.26
134,"CCH11081","2013-14","Himachal Pradesh","2","Shimla","23","MOFPI","nan","Canvas Integrated Cold Chain","Location : Shoghi (Shimla) &; Khairthal (Alwar) Contact Address :216, Vikas Deep Building, Plot No. 18, District Center, Laxmi Nagar, New Delhi. Contact Details: Mr.Aloke Bhatnagar,Partner,Ph: +91-9810816047, Email: alokbhatnagar02@gmail.com","Completed",1686.76,742.08
135,"CCH11058","2013-14","Himachal Pradesh","2","Shimla","23","MOFPI","nan","Dev Bhumi Cold Chain Ltd","Location : Village Matiana, Tehsil Theog,Dist.- Shimla, Himachal Pradesh. Contact Address : Indraprastha Bhawan, Plot no 17 and 18, New Sabji Mandi, Azadpur, New Delhi. Pin 110033. Azadpur Contact Details: Mr.Sanjay Agarwal,Director,Ph:+91-9810143326, Email:sanjay@devbhumiagri.com""","Completed",1425.0,804.97
136,"CCH12040","2013-14","Himachal Pradesh","2","Sirmaur","24","MOFPI","nan","Fresh Produce Impex","Location: Village Ranaghat, PO Shargaon, Sirmaur, Himachal Pradesh. Contact Address : A- 39, Fruit Market Navin Gala Mandi, Sitapur Road, Lucknow - 226020. Contact Person : Ms. Neelam Negi, Ph: +91-9819248884,+91-9821687641 Email: nrnegi@freshproduceimpex.com","Under Implementation",1358.82,241.76
137,"CCH11083","2013-14","Himachal Pradesh","2","Solan","25","MOFPI","nan","Hillcrest Foods","Location & Contact Address : Village Bersan, PO Manjholi,Tehsil Nalagarh. Contact Details: Mr.Praveen Diwan: +91-9779925909,Email: hillcrestcoldchain@yahoo.com""","Completed",1560.92,768.67
138,"CCH12062","2013-14","Himachal Pradesh","2","Shimla","23","MOFPI","nan","Him Fresh Produce Co","Location : Village Mohal Ghunda, Near Ghumma, Tehsil - Kotkhai, District - Shimla, Himachal Pradesh. Pin - 171202. Contact Address :A-15, Phase-II, Naraina Industrial Area, New Delhi - 110028. Contact Details: Mr. Nimit Aneja,Ph:+91-9810358228, Email: himfreshproducecompany@gmail.com","Under Implementation",1648.73,732.83
